,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
1810,,,,,,,,,,,,,,
1811,,,,,,,Ambatondrazaka Madagascar,,Arts Malagasy,+261 34 91 669 24,,furniture,Furniture store,
1812,,,,,,,,,,,,,,
1813,,,,,,,Rue Ravoninahitriniarivo MADAGASCAR Antananarivo 101 Madagascar,,��B��NE Fabricant sur mesure,+261 34 02 110 90,5.0,furniture,Furniture store,ebenesurmesure.com
1814,,,,,,,,,,,,,,
1815,,,,,,,Pont bailey Antananarivo Madagascar,,G̩ant du Meuble,+261 20 22 571 73,3.7,furniture,Furniture store,
1816,,,,,,,,,,,,,,
1817,,,,,,,Lot IVL 19 Anosivavaka 101 Madagascar,,Univers Meubles,+261 34 60 077 04,,furniture,Furniture store,
1818,,,,,,,,,,,,,,
1819,,,,,,,Antananarivo Madagascar,,immeuble HAINGO,+261 34 91 389 82,,furniture,Furniture store,
1820,,,,,,,,,,,,,,
1821,,,,,,,RN 7 Antananarivo Madagascar,,UNIPRI Menuiserie,,,furniture,Furniture store,
1822,,,,,,,,,,,,,,
1823,,,,,,,42 Arabe Andrinampoinimerina Antananarivo 101 Madagascar,,F. Bonnet & Ses Fils,+261 20 22 203 26,4.7,furniture,Furniture store,bonnet-fils.com
1824,,,,,,,,,,,,,,
1825,,,,,,,Immeuble Trade Tower Ivandry Antananarivo 101 Madagascar,,H̫tel Plus,+261 34 44 673 17,,furniture,Furniture accessories,business.site
1826,,,,,,,,,,,,,,
1827,,,,,,,B 09 VICTORIA PLAZA ANTANIMENA Antananarivo 101 Madagascar,,HOPPI DESIGN,+261 20 22 550 95,,furniture,Cabinet store,
1828,,,,,,,,,,,,,,
1829,,,,,,,Rue Ravoninahitriniarivo Antananarivo Madagascar,,F. Bonnet & Ses Fils,+261 20 22 203 26,4.0,furniture,Hardware store,bonnet-fils.com
1830,,,,,,,,,,,,,,
1831,,,,,,,Lot IVD 48 Behoririka Immeuble H̫tel Cristal Room 202 Antananarivo 101 Madagascar,,Bonmarche.mg,+261 34 49 777 00,4.6,furniture,E-commerce service,bonmarche.mg
1832,,,,,,,,,,,,,,
1833,,,,,,,IBM 57 ISORAKA ANTANANARIVO 101 Madagascar,,TRUST GROUP,+261 34 46 272 33,,furniture,Kitchen supply store,
1834,,,,,,,,,,,,,,
1835,,,,,,,Lot IVX Ankazomanga Atsimo Andraharo en face Seige Star Antananarivo 101 Madagascar,,Qubeta Siege,+261 34 02 115 00,,furniture,Computer wholesaler,
1836,,,,,,,,,,,,,,
1837,,,,,,,Antananarivo Madagascar,,aluminium treasure,+261 33 80 777 86,,furniture,Home goods store,
1838,,,,,,,,,,,,,,
1839,,,,,,,Antananarivo Madagascar,,SODIM,+261 20 23 301 63,4.1,furniture,Office supply store,sodim.mg
1840,,,,,,,,,,,,,,
1841,,,,,,,Antananarivo Madagascar,,Marco shop,+261 34 52 455 55,1.0,furniture,Store,m.facebook.com
1842,,,,,,,,,,,,,,
1843,,,,,,,Lalana Amiclar Cabral Joseph Antananarivo Madagascar,,Shoprite Ampefiloha,+261 20 22 288 56,3.8,furniture,Discount supermarket,shoprite.co.za
1844,,,,,,,,,,,,,,
1845,,,,,,,Lot 143 bis Ambohijanahary Antehiroka Antananarivo 105 Madagascar,,Novashop.mg,+261 33 83 222 58,,furniture,Supermarket,novashop.mg
1846,,,,,,,,,,,,,,
1847,,,,,,,Antananarivo Madagascar,,SERVICE PHOTOCOPIE S4F,,,office,Office furniture store,
1848,,,,,,,,,,,,,,
1849,,,,,,,Antananarivo Madagascar,,SODIM,+261 20 23 301 63,4.1,office,Office supply store,sodim.mg
1850,,,,,,,,,,,,,,
1851,,,,,,,Antananarivo Madagascar,,RedZone Ambanidia (Showroom Mobilier Bureau Sur Mesure),,,office,Office furniture store,
1852,,,,,,,,,,,,,,
1853,,,,,,,Centre Commercial Akoor Digue 1er ̩tage Andohatapenaka Antananarivo 101 Madagascar,,Paper Store,+261 34 11 464 01,4.5,office,Office supply store,paperstore.mg
1854,,,,,,,,,,,,,,
1855,,,,,,,Antananarivo Madagascar,,Shop RMB,,,office,Office supply store,
1856,,,,,,,,,,,,,,
1857,,,,,,,Smart Tanjombato Antananarivo Madagascar,,Orange Smart,+261 32 07 806 04,,office,Post office,
1858,,,,,,,,,,,,,,
1859,,,,,,,Ambondrona Madagascar,,Office Malgache des Hydrocarbures,,,office,Government office,
1860,,,,,,,,,,,,,,
1861,,,,,,,Batiment -BGolden bussiness center Antananarivo Madagascar,,China Visa application Center,+261 34 83 233 32,4.7,office,Corporate office,visaforchina.org
1862,,,,,,,,,,,,,,
1863,,,,,,,RN25 Ifanadiana Madagascar,,La Poste,,,office,Post office,
1864,,,,,,,,,,,,,,
1865,,,,,,,Bulding B09/10 - Zone Filatex Ankadimbahoaka Antananarivo Renivohitra BP 1555 Madagascar,,UPS Madagascar - Antananarivo,+261 20 22 269 03,,office,Post office,ups.com
1866,,,,,,,,,,,,,,
1867,,,,,,,Antananarivo Madagascar,,Canada visa Application Center,+261 34 83 233 32,,office,Visa and passport office,vfsglobal.ca
1868,,,,,,,,,,,,,,
1869,,,,,,,Toamasina Madagascar,,Paositra Malagasy,,4.5,office,Post office,paositramalagasy.mg
1870,,,,,,,,,,,,,,
1871,,,,,,,7 Antananarivo Madagascar,,Sagemcom Office Mada,,,office,Corporate office,
1872,,,,,,,,,,,,,,
1873,,,,,,,Antananarivo Madagascar,,Fokontany Andranomanalina Centre,,5.0,office,City government office,
1874,,,,,,,,,,,,,,
1875,,,,,,,21 Lalana Razanakombana Antananarivo 101 Madagascar,,Office des Mines Ntionales et des Industries Strat̩giques,,,office,Corporate office,
1876,,,,,,,,,,,,,,
1877,,,,,,,21 Lalana Razanakombana Antananarivo 101 Madagascar,,OMNIS Ambohijatovo,+261 20 22 242 83,,office,Corporate office,omnis.mg
1878,,,,,,,,,,,,,,
1879,,,,,,,Lalana G̩n̩ral Andrimahazo Antananarivo Madagascar,,OPHAM,+261 20 22 206 73,,office,Corporate office,opham.com
1880,,,,,,,,,,,,,,
1881,,,,,,,Antananarivo Madagascar,,Mining Business Center,,4.5,office,Corporate office,bcmm.mg
1882,,,,,,,,,,,,,,
1883,,,,,,,By-Pass Antananarivo Madagascar,,District Avaradrano Atsimo,,,office,District office,
1884,,,,,,,,,,,,,,
1885,,,,,,,Toamasina Madagascar,,R̩sidence Pr̩sidentielle,,5.0,office,State government office,
1886,,,,,,,,,,,,,,
1887,,,,,,,Tour Zital Zone Zital Ankorondrano Zone Zital Ankorondrano Antananarivo 101 Madagascar,,Promodim Madagascar,+261 20 22 353 72,5.0,office,Corporate office,imperialbrandsplc.com
1888,,,,,,,,,,,,,,
1889,,,,,,,Antananarivo Madagascar,,Jehovah's Witnesses - Watchtower Branch Office,,5.0,office,Jehovah's Witness Kingdom Hall,jw.org
1890,,,,,,,,,,,,,,
1891,,,,,,,Antananarivo Madagascar,,SOFTWELL,+261 20 22 409 32,5.0,office,Corporate office,softwell.mg
1892,,,,,,,,,,,,,,
1893,,,,,,,Zone Galaxy Andraharo Antananarivo 101 Madagascar,,"Bureau ONUSIDA Inter Pays Madagascar, Comores, Maurice, Seychelles",+261 20 23 300 92,4.0,office,Corporate office,unaids.org
1894,,,,,,,,,,,,,,
1895,,,,,,,Rue Lieutnant Noel Ambodimanga Toamasina Madagascar,,Office R̩gional du Tourisme de Tamatave,+261 20 53 302 05,,office,Tourist information center,tamatave-501.com
1896,,,,,,,,,,,,,,
1897,,,,,,,Lalana Samuel Stefani Antananarivo Madagascar,,La Case Verte,+261 20 22 382 02,4.4,office,Home goods store,lacaseverte.com
1898,,,,,,,,,,,,,,
1899,,,,,,,Toamasina Madagascar,,Blanche Birger,,,office,Computer repair service,
1900,,,,,,,,,,,,,,
1901,,,,,,,RN4 Antananarivo Madagascar,,Opham,+261 20 22 206 73,5.0,office,Pharmaceutical products wholesaler,opham.com
1902,,,,,,,,,,,,,,
1903,,,,,,,Unnamed Road Madagascar,,Anjomakely,,,office,City courthouse,
1904,,,,,,,,,,,,,,
1905,,,,,,,Ambohitrimanjaka Madagascar,,Travaux d�۪impression,,,office,Digital printing service,
1906,,,,,,,,,,,,,,
1907,,,,,,,Antananarivo Madagascar,,Ethiopian Airlines,+261 34 07 637 96,3.3,office,Tour agency,ethiopianairlines.com
1908,,,,,,,,,,,,,,
1909,,,,,,,Immeuble Assist 2̬ Etage Lot n�2-2 Ivandry Antanaravio 101 Madagascar,,IFFCO Madagascer,+261 33 28 306 24,,office,Business center,iffco.com
1910,,,,,,,,,,,,,,
1911,,,,,,,4 Antananarivo Madagascar,,ITA 13 Ambaniala,,,office,Computer repair service,
1912,,,,,,,,,,,,,,
1913,,,,,,,Andrainjato Madagascar,,Service de la m̩decine preventive et de la promotion de la sant̩,,,office,Public health department,
1914,,,,,,,,,,,,,,
1915,,,,,,,Batiment B4 Golden Business Center Antananarivo Madagascar,,Vivo Energy Madagascar,+261 20 22 227 28,1.0,office,Gas company,vivoenergy.com
1916,,,,,,,,,,,,,,
1917,,,,,,,RN1 Antananarivo Madagascar,,CNAPS Anosizato,,,office,Social security financial department,cnaps.mg
1918,,,,,,,,,,,,,,
1919,,,,,,,Immeuble Ariane Enceinte Galaxy Andraharo Antananarivo 101 Madagascar,,SGS Madagascar Sarl,+261 20 23 564 10,5.0,office,Business to business service,sgs.com
1920,,,,,,,,,,,,,,
1921,,,,,,,Boulevard Joffre Toamasina Madagascar,,SGS Madagascar Sarl,+261 20 53 010 13,,office,Business to business service,sgs.com
1922,,,,,,,,,,,,,,
1923,,,,,,,Antananarivo Madagascar,,Miro K.E,+261 32 07 174 74,,office,Company registry,miroke.com
1924,,,,,,,,,,,,,,
1925,,,,,,,Ambodirano Amparafaravola Ambodirano 312 Madagascar,,Commune Rurale Ambodirano,+261 34 61 229 35,,office,Municipal Department Housing and Urban Development,
1926,,,,,,,,,,,,,,
1927,,,,,,,IIIK1C Andavamamba Anjezika II TANA 101 ANTANANARIVO 101 Madagascar,,njk multiservises,+261 33 14 253 04,,school supplies,School supply store,
1928,,,,,,,,,,,,,,
1929,,,,,,,Antananarivo Madagascar,,SODIM,+261 20 23 301 63,4.1,school supplies,Office supply store,sodim.mg
1930,,,,,,,,,,,,,,
1931,,,,,,,Centre Commercial Akoor Digue 1er ̩tage Andohatapenaka Antananarivo 101 Madagascar,,Paper Store,+261 34 11 464 01,4.5,school supplies,Office supply store,paperstore.mg
1932,,,,,,,,,,,,,,
1933,,,,,,,LOT ANJANAHARY IIA 92 DA Antananarivo Madagascar,,Univers CNL Madagascar,+261 34 87 584 31,,school supplies,Office supply store,business.site
1934,,,,,,,,,,,,,,
1935,,,,,,,28 Rue Andrianampoinimerina Antananarivo Madagascar,,Shoprite Tana Downtown,+261 20 22 360 89,3.9,school supplies,Supermarket,shoprite.co.za
1936,,,,,,,,,,,,,,
1937,,,,,,,Antananarivo Renivohitra Madagascar,,"Leader Price, Tanjombato",,3.5,school supplies,Supermarket,
1938,,,,,,,,,,,,,,
1939,,,,,,,3 Antananarivo Madagascar,,Tsara Bika,+261 33 01 004 98,5.0,school supplies,Department store,tsarabika.com
1940,,,,,,,,,,,,,,
1941,,,,,,,Gara Ihazolava Ambatolampy Madagascar,,Tsenantsika,,,school supplies,Supermarket,
1942,,,,,,,,,,,,,,
1943,,,,,,,Arabe Andrinampoinimerina Antananarivo Madagascar,,Shoprite Anlakely,,,school supplies,Supermarket,
1944,,,,,,,,,,,,,,
1945,,,,,,,Antananarivo 101 Madagascar,,Leader Price Ankorondrano,+261 34 47 177 33,3.7,school supplies,Supermarket,leaderprice.mg
1946,,,,,,,,,,,,,,
1947,,,,,,,Talatamaty Madagascar,,Vision Valley School Tana,+261 33 14 441 27,4.0,school supplies,School,visionvalleyschool.com
1948,,,,,,,,,,,,,,
1949,,,,,,,Lotissement Bonnet N69 Rue Annabelle Antananarivo 101 Madagascar,,British School of Madagascar - Primary School,+261 34 43 211 17,4.9,school supplies,Elementary school,britishschool.mg
1950,,,,,,,,,,,,,,
1951,,,,,,,Villa anjarasoa 101 Rue Tsimanindry Antananarivo Madagascar,,Vatel Antananarivo - International Hospitality School,+261 34 67 014 27,5.0,school supplies,Hospitality and tourism school,vatel.mg
1952,,,,,,,,,,,,,,
1953,,,,,,,Park Antananarivo Madagascar,,American School of Antananarivo,+261 20 22 420 39,5.0,school supplies,International school,asamadagascar.org
1954,,,,,,,,,,,,,,
1955,,,,,,,Rue Amiral Billard Toamasina Madagascar,,Computek Technology,+261 34 74 839 85,5.0,school supplies,Computer store,computek.mg
1956,,,,,,,,,,,,,,
1957,,,,,,,Immeuble Mining Business Center Rue Dr Raseta. Lot K7 105 Antananarivo Madagascar,,Weir Minerals,+261 34 93 953 56,,school supplies,Engineering consultant,global.weir
1958,,,,,,,,,,,,,,
1959,,,,,,,Lot 01D68 Madagascar,,ERICSSON Madagascar,,,school supplies,Software company,ericsson.com
1960,,,,,,,,,,,,,,
1961,,,,,,,Immeuble Jacaranda Lalana Ranavalona III Antananarivo Madagascar,,Kentia-Formation,+261 34 11 357 34,,school supplies,Adult education school,kentia-formation.com
1962,,,,,,,,,,,,,,
1963,,,,,,,Antananarivo Madagascar,,IFRC Office/Bureau FICR,,,school supplies,District office,ifrc.org
1964,,,,,,,,,,,,,,
1965,,,,,,,Unnamed Road Madagascar,,World Food Programme (PAM),,,school supplies,Corporate office,wfp.org
1966,,,,,,,,,,,,,,
1967,,,,,,,Boulevard Augagneur Tamatave Tamatave 501 Madagascar,,ABC - Tamatave,+261 20 53 311 28,5.0,material,Construction material wholesaler,abc.mg
1968,,,,,,,,,,,,,,
1969,,,,,,,Antananarivo Madagascar,,Manorina,+261 20 24 264 23,,material,Building materials store,
1970,,,,,,,,,,,,,,
1971,,,,,,,Antananarivo Madagascar,,Quincaillerie Ny Antsika,+261 20 22 258 85,,material,Building materials store,
1972,,,,,,,,,,,,,,
1973,,,,,,,LOT IVR 100 Antanimena Antananarivo 101 Madagascar,,MAD'STEEL,+261 34 11 623 11,,material,Building materials store,madalinks.net
1974,,,,,,,,,,,,,,
1975,,,,,,,Module 19 - ZI Forello Antananarivo Madagascar,,CG BAT Redland,+261 20 22 466 92,,material,Building materials store,tuiles-redland.com
1976,,,,,,,,,,,,,,
1977,,,,,,,Boulevard Marechal Foch Toamasina Madagascar,,COMPAGNIE MADECASSE - Agence Tamatave,+261 32 11 043 47,4.8,material,Building materials store,madecassemada.com
1978,,,,,,,,,,,,,,
1979,,,,,,,Antananarivo Madagascar,,GASY AVENIR SARLU,+261 32 03 473 02,,material,Building materials store,
1980,,,,,,,,,,,,,,
1981,,,,,,,Antananarivo Madagascar,,M̩taplasco,+261 32 43 213 78,,material,Building materials supplier,metaplasco.com
1982,,,,,,,,,,,,,,
1983,,,,,,,Antananarivo Madagascar,,Etablissement La Joie,,,material,Hardware store,
1984,,,,,,,,,,,,,,
1985,,,,,,,Mananjary Madagascar,,Quincaillerie Nonisoa,+261 34 18 999 53,,material,Hardware store,
1986,,,,,,,,,,,,,,
1987,,,,,,,QVY 55 ter Ambatomirahavavy Madagascar,,Quincaillerie ISANJATO,+261 34 17 817 51,,material,Hardware store,
1988,,,,,,,,,,,,,,
1989,,,,,,,501 Toamasina 501 Madagascar,,Quincaillerie MANANTSOA,+261 32 11 112 12,,material,Hardware store,
1990,,,,,,,,,,,,,,
1991,,,,,,,Rue Du Marechal De Lattre De Tassigny Toamasina Madagascar,,Annexe Soa Vy,,,material,Tile store,
1992,,,,,,,,,,,,,,
1993,,,,,,,11/47 tamatave 501 Madagascar,,Quincaillerie MAHERY,,,material,Hardware store,
1994,,,,,,,,,,,,,,
1995,,,,,,,Antananarivo Madagascar,,Quincaillerie Fihavana,+261 32 50 845 66,5.0,material,Hardware store,tolotra-malagasy.com
1996,,,,,,,,,,,,,,
1997,,,,,,,MANGARIVOTRA Tomasina 501 Madagascar,,QUINCAILLERIE TSIMISARAKA,+261 34 55 011 80,,material,Hardware store,
1998,,,,,,,,,,,,,,
1999,,,,,,,Antananarivo Madagascar,,BRICODIS TSARALALANA,+261 34 23 123 04,3.0,material,Hardware store,bricodis.mg
2000,,,,,,,,,,,,,,
2001,,,,,,,Ambohibao Ambohimaro 101 Antananarivo Madagascar,,Aurlac magasin d'usine,+261 32 11 243 36,4.0,material,Paint store,aurlac.com
2002,,,,,,,,,,,,,,
2003,,,,,,,Antananarivo Madagascar,,Aurlac usine,+261 32 05 043 36,,material,Paint store,aurlac.com
2004,,,,,,,,,,,,,,
2005,,,,,,,Boulevard de la fidelit̩ Toamasina bazary kely 501 Madagascar,,Connect it Tamatave,+261 34 09 249 63,,material,Hardware store,
2006,,,,,,,,,,,,,,
2007,,,,,,,21 Rue de Commerce Toamasina AMPASIMAZAVA TOAMASINA 501 Madagascar,,St̩ TSARAHAZO SARL,+261 34 05 329 81,,material,Hardware store,business.site
2008,,,,,,,,,,,,,,
2009,,,,,,,88E Ankadifotsy Befelatana Antananarivo 101 Madagascar,,Caro Confort,+261 34 43 302 22,5.0,material,Tile store,
2010,,,,,,,,,,,,,,
2011,,,,,,,Rue Ravoninahitriniarivo Antananarivo Madagascar,,F. Bonnet & Ses Fils,+261 20 22 203 26,4.0,material,Hardware store,bonnet-fils.com
2012,,,,,,,,,,,,,,
2013,,,,,,,Enceinte Le Grillon Lot II L 111 ED Madagascar,,Sankoo Madagascar,,,material,Paint store,
2014,,,,,,,,,,,,,,
2015,,,,,,,Lot A 180 camps des mari̩es Moramanga 514 Madagascar,,ETS SARIAKA,+261 20 56 825 06,4.7,material,Hardware store,
2016,,,,,,,,,,,,,,
2017,,,,,,,101 Route du Papa Anosivavaka Antananarivo 688 Madagascar,,AQUAMAD,+261 20 22 533 54,4.5,material,Industrial equipment supplier,aquamad.business.site
2018,,,,,,,,,,,,,,
2019,,,,,,,Antananarivo Madagascar,,Batpro,+261 20 22 224 69,3.7,material,Road construction company,batpro-madagascar.com
2020,,,,,,,,,,,,,,
2021,,,,,,,Rue Ravoninahitriniarivo Antananarivo 101 Madagascar,,Compagnie Madecasse,+261 20 22 224 08,3.8,material,Industrial equipment supplier,madecassemada.com
2022,,,,,,,,,,,,,,
2023,,,,,,,Antananarivo Madagascar,,Hazovato S.A,+261 20 22 462 75,3.6,material,Furniture maker,hazovato.com
2024,,,,,,,,,,,,,,
2025,,,,,,,Antananarivo-Atsimondrano Antanimenakely 101 Madagascar,,J.R. Metaux MG Sarlu,+261 33 11 914 37,5.0,material,Stainless steel plant,jrmetaux.com
2026,,,,,,,,,,,,,,
2027,,,,,,,Zone Galil̩e Tanjombato Antananarivo Madagascar,,Agence BNI Madagascar,+261 20 22 479 02,1.0,material,Bank,bni.mg
2028,,,,,,,,,,,,,,
2029,,,,,,,Lot II BIS Mahalavolona Andoharanofotsy Andoharanofotsy Antananarivo Madagascar,,Agence BNI Madagascar,+261 20 22 460 35,4.0,material,Bank,bni.mg
2030,,,,,,,,,,,,,,
2031,,,,,,,Rue du Commerce Ambositra Madagascar,,Agence BNI Madagascar,+261 20 47 711 29,,material,Bank,bni.mg
2032,,,,,,,,,,,,,,
2033,,,,,,,Toamasina Madagascar,,Eglise N̩o Apostolique,,1.0,material,Church,
2034,,,,,,,,,,,,,,
2035,,,,,,,ByPass Antananarivo Madagascar,,Beton Fanilo Bypass,+261 33 32 371 56,,concrete,Concrete product supplier,facebook.com
2036,,,,,,,,,,,,,,
2037,,,,,,,Antananarivo Madagascar,,Beton Prefa,+261 33 50 071 52,,concrete,Concrete product supplier,facebook.com
2038,,,,,,,,,,,,,,
2039,,,,,,,Talatamaty Madagascar,,BGM - B̩ton Et Granulats De Madagascar,+261 32 03 323 23,5.0,concrete,Concrete product supplier,betongranulats-mada.com
2040,,,,,,,,,,,,,,
2041,,,,,,,Antananarivo Madagascar,,ivato carriere,,,concrete,Concrete metal framework supplier,
2042,,,,,,,,,,,,,,
2043,,,,,,,Toamasina Madagascar,,Quincaillerie MOMO,+261 34 05 178 28,5.0,concrete,Hardware store,
2044,,,,,,,,,,,,,,
2045,,,,,,,Immeuble Ariane Enceinte Galaxy Andraharo Antananarivo 101 Madagascar,,SGS Madagascar Sarl,+261 20 23 564 10,5.0,concrete,Business to business service,sgs.com
2046,,,,,,,,,,,,,,
2047,,,,,,,Toamasina Madagascar,,Garage ppride,+261 32 05 829 25,,truck,Truck repair shop,
2048,,,,,,,,,,,,,,
2049,,,,,,,Toamasina Madagascar,,Madagascar Poids Lourds (MPL),+261 34 11 429 10,,truck,Truck accessories store,
2050,,,,,,,,,,,,,,
2051,,,,,,,Mahitsy(poste restante Ambohidratrimo 105 Madagascar,,RDV44,,,truck,Truck stop,
2052,,,,,,,,,,,,,,
2053,,,,,,,7 Antananarivo Madagascar,,Fiadanamanga Iavoloha,,,truck,Truck stop,
2054,,,,,,,,,,,,,,
2055,,,,,,,Antananarivo Madagascar,,Planete Poids Lourds Analamahitsy,+261 34 13 287 57,5.0,truck,Truck parts supplier,
2056,,,,,,,,,,,,,,
2057,,,,,,,Behoririka Antananarivo 101 Madagascar,,Toyota Rasseta,+261 20 22 257 70,3.7,truck,Car dealer,toyotamadagascar.com
2058,,,,,,,,,,,,,,
2059,,,,,,,Rue du Docteur Raseta Andraharo B. P. 350 Antananarivo 101 Madagascar,,Madagascar Automobile Andraharo,+261 20 23 254 54,3.7,truck,Nissan dealer,madauto.com
2060,,,,,,,,,,,,,,
2061,,,,,,,andraharo Antananarivo Madagascar,,Delta parts,+261 34 07 600 67,,truck,Auto parts store,
2062,,,,,,,,,,,,,,
2063,,,,,,,Rue Docteur Joseph Raseta Antananarivo Madagascar,,CT Motors,+261 20 23 320 52,4.4,truck,Car dealer,ctmotors.mg
2064,,,,,,,,,,,,,,
2065,,,,,,,Lalana Jean Ralaimongo Road Antananarivo Madagascar,,TOYOTA RASETA,+261 33 11 433 55,4.5,truck,RV dealer,toyotamadagascar.com
2066,,,,,,,,,,,,,,
2067,,,,,,,Rue Docteur Joseph Raseta Antananarivo Madagascar,,Batimax,+261 20 23 317 86,3.9,truck,Building materials store,batimax-mada.com
2068,,,,,,,,,,,,,,
2069,,,,,,,Rte du Pape Antananarivo Madagascar,,Sanifer,+261 20 22 530 81,4.1,truck,Home improvement store,sanifer.mg
2070,,,,,,,,,,,,,,
2071,,,,,,,Antananarivo Madagascar,,Shoprite Hotel,+261 32 07 982 82,4.1,truck,Supermarket,shoprite.co.za
2072,,,,,,,,,,,,,,
2073,,,,,,,Arabe Jeneraly Charles de Gaulle Antananarivo Madagascar,,Shoprite Ampasanimalo,+261 20 22 326 43,3.7,truck,Variety store,shoprite.co.za
2074,,,,,,,,,,,,,,
2075,,,,,,,F III G 33 Ambohimahitsy Antananarivo 101 Madagascar,,MOBIVET,+261 34 78 110 92,4.0,truck,Veterinary pharmacy,mobivet.business.site
2076,,,,,,,,,,,,,,
2077,,,,,,,Lot B3 ��� Tana water front Lot B3 1 er̩tage Ambodivona Antananarivo 101 103 Madagascar,,Expo Freight (EFL),+261 20 22 368 97,3.0,freight,Freight forwarding service,efl.global
2078,,,,,,,,,,,,,,
2079,,,,,,,1st Floor ̢���� Immeuble ALLAIN SARL 15 Bis Rue Patrice Lumumba Tsaralalana Antananarivo MG 101 Madagascar,,Expeditors,+261 20 22 681 29,,freight,Freight forwarding service,expeditors.com
2080,,,,,,,,,,,,,,
2081,,,,,,,Ampasimazava Madagascar,,Bollor̩ Transport & Logistics,,4.0,freight,Freight forwarding service,
2082,,,,,,,,,,,,,,
2083,,,,,,,Betainomby Airport Toamasina Madagascar,,CMA CGM INLAND SERVICE,,,freight,Freight forwarding service,
2084,,,,,,,,,,,,,,
2085,,,,,,,Toamasina Madagascar,,SEAL,,5.0,freight,Freight forwarding service,
2086,,,,,,,,,,,,,,
2087,,,,,,,44 Andreba Madagascar,,Gara,,4.0,train,Train station,
2088,,,,,,,,,,,,,,
2089,,,,,,,Toamasina Madagascar,,Train (Railway) Station,,3.7,train,Train station,
2090,,,,,,,,,,,,,,
2091,,,,,,,Gare Soarano Analakely Antananarivo Madagascar,,Gare Soarano,,3.8,train,Train station,
2092,,,,,,,,,,,,,,
2093,,,,,,,Madagascar,,Madiorano Trainstation,,5.0,train,Train ticket counter,
2094,,,,,,,,,,,,,,
2095,,,,,,,Antananarivo Madagascar,,Antananarivo,,3.7,train,Train station,
2096,,,,,,,,,,,,,,
2097,,,,,,,Madagascar,,Anjeva,,4.6,train,Train station,
2098,,,,,,,,,,,,,,
2099,,,,,,,Madagascar,,Andranokoditra,,4.4,train,Train station,
2100,,,,,,,,,,,,,,
2101,,,,,,,12 Manakara Madagascar,,Manakara,,4.2,train,Train station,
2102,,,,,,,,,,,,,,
2103,,,,,,,1 Avenue de L'Independance Antananarivo 101 Madagascar,,Madarail S.A.,+261 20 22 345 99,4.0,train,Railroad company,madarail.mg
2104,,,,,,,,,,,,,,
2105,,,,,,,Moramanga Madagascar,,Andasibe station,,3.7,train,Rest stop,madarail.mg
2106,,,,,,,,,,,,,,
2107,,,,,,,Rue Docteur Rajaonah Antananarivo Madagascar,,Ch̢teau d'eau d'Ankadifotsy,,2.0,utility,Water utility company,
2108,,,,,,,,,,,,,,
2109,,,,,,,Unnamed Road Antananarivo Madagascar,,Sisaony,,,utility,Water utility company,
2110,,,,,,,,,,,,,,
2111,,,,,,,Antananarivo Madagascar,,INERGY Solutions,+261 34 22 447 27,5.0,utility,Electric utility company,
2112,,,,,,,,,,,,,,
2113,,,,,,,Vs 4 Lot 76 Lalana Printsey Kamamy Antananarivo Madagascar,,JIRAMA,+261 20 22 294 15,,utility,Water utility company,jirama.mg
2114,,,,,,,,,,,,,,
2115,,,,,,,19rue RAINITOVO Antananarivo 101 Madagascar,,JIRAMA,+261 34 83 702 25,,utility,Water utility company,jirama.mg
2116,,,,,,,,,,,,,,
2117,,,,,,,RN3 Antananarivo Madagascar,,Entreprise Citisol,,,utility,Solar energy company,
2118,,,,,,,,,,,,,,
2119,,,,,,,Antananarivo Madagascar,,D̩p̫t P̩trolier d'Alarobia,,,utility,Petroleum products company,
2120,,,,,,,,,,,,,,
2121,,,,,,,3A Madagascar,,JIRAMA,,,utility,Power station,
2122,,,,,,,,,,,,,,
2123,,,,,,,Lot III P 29 G Bis Marohoho Tsimbazaza Antananarivo Madagascar,,Loowatt SARL,+261 20 22 230 41,4.0,utility,Waste management service,loowatt.com
2124,,,,,,,,,,,,,,
2125,,,,,,,Fiadanana Madagascar,,D̩p̫t P̩trolier de Soanierana,,,utility,Petroleum products company,
2126,,,,,,,,,,,,,,
2127,,,,,,,VG 26 Ter Antsahabe Antananarivo 101 Madagascar,,GREEN ECO ENERGY,,,utility,Solar energy company,
2128,,,,,,,,,,,,,,
2129,,,,,,,Toamasina Madagascar,,GALANA RAFFINERIE TERMINAL sa.,,,utility,Petroleum products company,
2130,,,,,,,,,,,,,,
2131,,,,,,,Tsiazompaniry Madagascar,,Tsiazompaniry,,,utility,Hydroelectric power plant,
2132,,,,,,,,,,,,,,
2133,,,,,,,LOT II O 126 - Anjanahary - Antananarivo 101 Antananarivo 101 Madagascar,,Vohitra Environment - Facility,+261 34 27 083 92,,utility,Waste management service,vohitra.mg
2134,,,,,,,,,,,,,,
2135,,,,,,,Anosizato Antananarivo 101 Madagascar,,TK Distrib,,,utility,Hardware store,tk-distrib.business.site
2136,,,,,,,,,,,,,,
2137,,,,,,,Rue Docteur Joseph Raseta Antananarivo Madagascar,,Air Liquide SOAM,+261 20 23 225 06,2.0,utility,Industrial gas supplier,airliquide.com
2138,,,,,,,,,,,,,,
2139,,,,,,,Andilamena Madagascar,,Andrii Dj,+261 34 48 182 25,,utility,Clothes and fabric manufacturer,
2140,,,,,,,,,,,,,,
